# 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k 13:k_modes[0] 14:mu_t 15:k_t 16:S 17:massf[0]-N2 18:massf[1]-N 19:dt_chem 20:u 21:T 22:u_modes[0] 23:T_modes[0] 24:dt_therm
-1.247179830423314657e-02 1.299389632339017055e-03 0.000000000000000000e+00 2.286969568050631254e-07 2.406584569476624951e-03 4.999999990224747307e+03 2.906513667414357889e-07 0.000000000000000000e+00 5.000001202607566029e+02 5.336165590420355329e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.252100620077947706e-07 2.096852552286986029e+05 7.000001669591634936e+02 8.652752684650607989e+03 6.999979099057072744e+02 2.252100620077947706e-07
-1.221967935995179645e-02 1.289631513120288514e-03 0.000000000000000000e+00 2.269789468574303029e-07 2.406584569970877160e-03 4.999999989216982613e+03 3.255739327712094619e-07 0.000000000000000000e+00 5.000001321503129930e+02 5.336165701497166083e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.252100620077947706e-07 2.096852674730936706e+05 7.000001834607799083e+02 8.652740021739637086e+03 6.999976953104984432e+02 2.252100620077947706e-07
-1.196756043386238734e-02 1.279873394605636743e-03 0.000000000000000000e+00 2.252609369098222827e-07 2.406584570394810184e-03 4.999999988364370438e+03 3.576237874404230610e-07 0.000000000000000000e+00 5.000001422297427212e+02 5.336165793144433565e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.252100620077947706e-07 2.096852778522759618e+05 7.000001974486725658e+02 8.652730421502510580e+03 6.999975326175402870e+02 2.252100620077947706e-07
-1.171544152638507447e-02 1.270115276811377902e-03 0.000000000000000000e+00 2.235429269621939601e-07 2.406584570824709356e-03 4.999999987528082784e+03 3.901879017174420790e-07 0.000000000000000000e+00 5.000001526120674953e+02 5.336165890712362625e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.252100620077947706e-07 2.096852885448229790e+05 7.000002118588830626e+02 8.652718165123331346e+03 6.999973249114043483e+02 2.252100620077947706e-07
-1.146332263795195490e-02 1.260357159754207619e-03 0.000000000000000000e+00 2.218249170145706668e-07 2.406584571329677819e-03 4.999999986379123584e+03 4.313753618082758917e-07 0.000000000000000000e+00 5.000001658251566710e+02 5.336165997027258072e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.252100620077947706e-07 2.096853021618129860e+05 7.000002302103282545e+02 8.652708707924719420e+03 6.999971646422404774e+02 2.252100620077947706e-07
-1.121120376900897574e-02 1.250599043451387912e-03 0.000000000000000000e+00 2.201069070669479294e-07 2.406584571622252377e-03 4.999999985884838679e+03 4.595764050990369174e-07 0.000000000000000000e+00 5.000001711655026497e+02 5.336166079919735239e+02 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.252100620077947706e-07 2.096853076463071338e+05 7.000002376017117740e+02 8.652695672786816431e+03 6.999969437383158493e+02 2.252100620077947706e-07
-1.095908492001609717e-02 1.240840927920730053e-03 0.000000000000000000e+00 2.183888971193283683e-07 2.775587668078051146e-03 4.554932958215710642e+03 5.768345121797389119e+00 0.000000000000000000e+00 2.184039245412506261e+03 1.032075521662927940e+03 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999981084183938718e-01 1.891581606181494177e-06 2.252100620077947706e-07 1.657523766920196824e+06 2.651147127025246391e+03 2.104614904709802431e+04 8.584641970627124010e+02 2.252100620077947706e-07
-1.070696609144795863e-02 1.231082813180607799e-03 0.000000000000000000e+00 2.166708871717073779e-07 1.170068981019624713e-02 9.613101501431700626e+02 6.115923669939704865e+01 0.000000000000000000e+00 3.898775445421954646e+04 2.082683147029130851e+03 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999278417579924305e-01 7.215824200754033266e-05 2.252100620077947706e-07 8.022447206375715323e+06 1.122572972576846041e+04 7.428969374634261476e+05 3.823651257479745709e+03 1.757713574688539559e-08
-1.045484728379430378e-02 1.221324699249950454e-03 0.000000000000000000e+00 2.149528772240803523e-07 1.635759585615578424e-02 7.105139547838099361e+02 6.733965630634185118e+01 0.000000000000000000e+00 5.219536527695869154e+04 2.021764791598723605e+03 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.990340029122174448e-01 9.659970877824475581e-04 2.252100620077947706e-07 7.693826478914557956e+06 1.074044573319900883e+04 1.774952126841095043e+06 7.004760508379674320e+03 2.810864259694227293e-08
-1.020272849756046277e-02 1.211566586148344346e-03 0.000000000000000000e+00 2.132348672764594943e-07 1.732408583782693579e-02 6.596817785102506377e+02 6.816704959442674294e+01 0.000000000000000000e+00 5.250797130430254037e+04 1.949771741022569586e+03 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.963722380563824199e-01 3.627761943617609144e-03 2.252100620077947706e-07 7.367619679444298148e+06 1.017492950067668608e+04 2.384628279355797451e+06 8.520135512188913708e+03 6.384081733723984857e-08
-9.950609733268590829e-03 1.201808473895990331e-03 0.000000000000000000e+00 2.115168573288387420e-07 1.817759221813681353e-02 6.141079257319621547e+02 6.784201648091222125e+01 0.000000000000000000e+00 5.320263354329935100e+04 1.907662865973916496e+03 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.925060054424145184e-01 7.493994557585525844e-03 2.252100620077947706e-07 7.215708134305549785e+06 9.787763576471959823e+03 2.598405071281844284e+06 8.971342524211308046e+03 6.931886343528274680e-08
-9.698490991457734203e-03 1.192050362513750409e-03 0.000000000000000000e+00 2.097988473812180428e-07 1.863761965188473826e-02 5.865563084972017123e+02 6.644426772304781537e+01 0.000000000000000000e+00 5.359323158005916775e+04 1.886227557296803752e+03 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.876805507722111743e-01 1.231944922778876149e-02 2.252100620077947706e-07 7.223256651469964534e+06 9.570421870572226908e+03 2.734473228716667276e+06 9.239751808362791053e+03 8.798447450540423196e-08
-9.446372272684551777e-03 1.182292252023175267e-03 0.000000000000000000e+00 2.080808374335952259e-07 1.906158008128865794e-02 5.589238931182042052e+02 6.510399347011977511e+01 0.000000000000000000e+00 5.394231512183885934e+04 1.870495859106194757e+03 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.823722863298737229e-01 1.762771367012633261e-02 2.252100620077947706e-07 7.259532001783956774e+06 9.369381450187156588e+03 2.761260654147769324e+06 9.295466158918728979e+03 1.296390477013206210e-07
-9.194253577524590104e-03 1.172534142446530515e-03 0.000000000000000000e+00 2.063628274859688357e-07 1.938730550957872348e-02 5.352228814145152000e+02 6.377505740606094520e+01 0.000000000000000000e+00 5.416598039751316537e+04 1.859212731294342575e+03 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.768934167331576601e-01 2.310658326684223579e-02 2.252100620077947706e-07 7.325525090865941718e+06 9.200627277619563756e+03 2.751062782172284555e+06 9.282581998526391544e+03 1.369281709626238029e-07
-8.942134906572370145e-03 1.162776033806827477e-03 0.000000000000000000e+00 2.046448175383516039e-07 1.966782670303187514e-02 5.139267230183396578e+02 6.213937169245906489e+01 0.000000000000000000e+00 5.438030411831095989e+04 1.850810302171771809e+03 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.715329824727485519e-01 2.846701752725149664e-02 2.252100620077947706e-07 7.406472059895835817e+06 9.057827654238961259e+03 2.723993259222069290e+06 9.238184025578542787e+03 1.261815011493627998e-07
-8.690016260442790658e-03 1.153017926127872413e-03 0.000000000000000000e+00 2.029268075907267224e-07 1.992543107008817871e-02 4.945602533465936403e+02 6.093682593375618239e+01 0.000000000000000000e+00 5.457532621339440811e+04 1.843815711275829926e+03 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.665631859978078833e-01 3.343681400219210981e-02 2.252100620077947706e-07 7.484456986627535895e+06 8.929637907131294924e+03 2.682163076308728661e+06 9.165174567336925975e+03 1.282650537606441871e-07
-8.437897639771948718e-03 1.143259819434294059e-03 0.000000000000000000e+00 2.012087976431030586e-07 2.017247314526730492e-02 4.758090660577013864e+02 6.096660369781828592e+01 0.000000000000000000e+00 5.475494638084885810e+04 1.837451788737382230e+03 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.620147328487352878e-01 3.798526715126469833e-02 2.252100620077947706e-07 7.554331415615718812e+06 8.810533062999726098e+03 2.631932013993675355e+06 9.074544812676356742e+03 1.338742137241161879e-07
-8.185779045217184829e-03 1.133501713751508067e-03 0.000000000000000000e+00 1.994907876954869386e-07 2.041057106988120040e-02 4.576133588870384870e+02 6.134679336711490549e+01 0.000000000000000000e+00 5.493293791241920553e+04 1.831692154748497160e+03 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.576249850691884724e-01 4.237501493081150677e-02 2.252100620077947706e-07 7.624373946871303022e+06 8.699270593878278305e+03 2.579049075341514777e+06 8.976988690968571973e+03 1.409370522768942135e-07
-7.933660477459482038e-03 1.123743609105904567e-03 0.000000000000000000e+00 1.977727777478599395e-07 2.063055056072183799e-02 4.396876066874605726e+02 6.137349064663774811e+01 0.000000000000000000e+00 5.510652440089942684e+04 1.826791010393701072e+03 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.530144043205800441e-01 4.698559567942002524e-02 2.252100620077947706e-07 7.707728559545607306e+06 8.595688299339286459e+03 2.527345650241478346e+06 8.880332719536456352e+03 1.488841441529363692e-07
-7.681541937203020115e-03 1.113985505524707660e-03 0.000000000000000000e+00 1.960547678002379167e-07 2.082185980543846057e-02 4.216780502054311341e+02 6.085724088623937433e+01 0.000000000000000000e+00 5.526214116442679369e+04 1.822923395321255612e+03 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.481311882023893967e-01 5.186881179761061028e-02 2.252100620077947706e-07 7.807202017801504582e+06 8.501112707959282488e+03 2.477819294342240784e+06 8.786827699380070044e+03 1.574931588588678341e-07
-7.429423425177206913e-03 1.104227403036163631e-03 0.000000000000000000e+00 1.943367578526184351e-07 2.101844166068291345e-02 4.044684526319215934e+02 5.871267265839105676e+01 0.000000000000000000e+00 5.542061744694942900e+04 1.818880745260250478e+03 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.436458230791525681e-01 5.635417692084753599e-02 2.252100620077947706e-07 7.895186315019596368e+06 8.409892705432997900e+03 2.429105889265505597e+06 8.692964230715764643e+03 1.666334769889345639e-07
-7.177304942137635937e-03 1.094469301669524254e-03 0.000000000000000000e+00 1.926187479049913566e-07 2.123331536062143463e-02 3.874181238407732621e+02 5.405857707653196087e+01 0.000000000000000000e+00 5.557342669348990603e+04 1.813897782095168395e+03 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.401606815395437966e-01 5.983931846045624503e-02 2.252100620077947706e-07 7.949406995691332966e+06 8.320290731860366577e+03 2.381473450573413167e+06 8.598430399059099727e+03 1.758874644265794847e-07
-6.925186488866595484e-03 1.084711201455044191e-03 0.000000000000000000e+00 1.909007379573737807e-07 2.144002387882447749e-02 3.715318133520817696e+02 4.954700643003002369e+01 0.000000000000000000e+00 5.570301755914673413e+04 1.808829403152190707e+03 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.374229804632577823e-01 6.257701953674227324e-02 2.252100620077947706e-07 7.982995754952940159e+06 8.238007845913220081e+03 2.336197399985539727e+06 8.506278297331527938e+03 1.855886317699543188e-07
-6.673068066175259598e-03 1.074953102424144272e-03 0.000000000000000000e+00 1.891827280097508315e-07 2.163979235333423831e-02 3.568493891748124724e+02 4.717964944582129050e+01 0.000000000000000000e+00 5.582531768550428387e+04 1.803937055751968273e+03 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.348353136413983799e-01 6.516468635860162006e-02 2.252100620077947706e-07 8.014511216509100981e+06 8.160006728897908943e+03 2.293171211694416590e+06 8.417332682655229291e+03 1.955155854960271975e-07
-6.420949674904362879e-03 1.065195004609355116e-03 0.000000000000000000e+00 1.874647180621283853e-07 2.183357981137445253e-02 3.427775191135118575e+02 4.658670529464976084e+01 0.000000000000000000e+00 5.594638895102679817e+04 1.799315754979179246e+03 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.318886407132624949e-01 6.811135928673754669e-02 2.252100620077947706e-07 8.059033486903452314e+06 8.082761070574958467e+03 2.252492394770556130e+06 8.332841510296795605e+03 2.056608369420330575e-07
-6.168831315925722703e-03 1.055436908044412973e-03 0.000000000000000000e+00 1.857467081145034508e-07 2.200078297108177747e-02 3.284681117826328887e+02 4.684864074256820032e+01 0.000000000000000000e+00 5.605042899513433804e+04 1.795541010768240540e+03 1.687225710190764190e-05 2.485725227013712776e-02 1.783834841421463182e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.284802621288719138e-01 7.151973787112805847e-02 2.252100620077947706e-07 8.123449546249179170e+06 8.010687521376446966e+03 2.214730199520979542e+06 8.254532873594571356e+03 2.155307851897007714e-07
