pos.x pos.y vol rho vel.x vel.y p a shock-detector massf-air e T
 3.3613 1.00278 0.00224714 1.39882 619.704 95.4746 138334 372.089 0 1 247232 344.45
 3.38611 0.979553 0.00171455 1.46113 607.57 107.72 147131 375.467 0 1 251742 350.734
 3.42015 0.98759 0.00160024 1.47145 605.827 108.869 148584 375.991 0 1 252445 351.713
 3.44047 1.0185 0.00224587 1.46551 607.905 107.605 147868 375.843 0 1 252246 351.437
 3.47513 1.0122 0.00150969 1.47428 605.761 109.782 149024 376.186 0 1 252707 352.078
 3.48976 0.976126 0.00150684 1.46778 606.012 108.727 148150 375.91 0 1 252336 351.562
 3.52212 0.981053 0.00144891 1.46662 606.24 108.382 147991 375.857 0 1 252265 351.462
 3.52883 1.01552 0.00119036 1.47139 606.211 109.075 148584 375.998 0 1 252455 351.727
 3.55505 1.02731 0.00113318 1.4701 606.544 108.839 148427 375.965 0 1 252410 351.665
 3.58043 1.01148 0.00113166 1.46481 607.148 107.924 147661 375.67 0 1 252014 351.113
 3.63709 1.02047 0.00156083 1.46216 607.65 107.537 147287 375.534 0 1 251831 350.858
 3.64098 0.984087 0.00187063 1.461 606.851 107.273 147232 375.612 0 1 251937 351.005
 3.67562 0.971522 0.00196067 1.46082 606.463 107.237 147245 375.653 0 1 251991 351.081
 3.7058 0.997779 0.00180959 1.46105 606.904 107.349 147230 375.604 0 1 251926 350.99
 3.73908 0.988052 0.00157527 1.46107 606.539 107.359 147266 375.647 0 1 251983 351.07
 3.7635 1.011 0.00124663 1.46103 606.955 107.497 147223 375.597 0 1 251916 350.976
 3.79339 1.00303 0.00123735 1.46107 606.625 107.51 147257 375.635 0 1 251967 351.048
 3.85787 0.992498 0.00166834 1.46085 606.141 107.51 147269 375.679 0 1 252026 351.13
 3.89027 0.982811 0.00165494 1.46079 605.878 107.489 147285 375.708 0 1 252065 351.184
 3.91925 1.00806 0.00194632 1.46091 606.235 107.566 147267 375.669 0 1 252013 351.111
 3.94837 0.992632 0.00153227 1.46066 605.883 107.483 147267 375.702 0 1 252057 351.172
 3.97881 1.00356 0.00150888 1.46076 605.98 107.465 147272 375.695 0 1 252048 351.16
 4.04585 1.00073 0.00155886 1.46054 605.799 107.256 147262 375.71 0 1 252067 351.187
 4.07838 1.0085 0.00169764 1.46063 605.846 107.196 147270 375.709 0 1 252066 351.186
 4.10599 0.987835 0.00202722 1.46018 605.632 107.125 147232 375.718 0 1 252079 351.203
 4.14046 1.00773 0.00175204 1.46043 605.757 107.089 147254 375.713 0 1 252072 351.193
 4.17109 0.990418 0.00175479 1.46014 605.603 107.04 147231 375.723 0 1 252085 351.211
 4.20288 1.0116 0.00175591 1.46027 605.711 107.042 147237 375.713 0 1 252072 351.194
 4.23386 0.995404 0.00176248 1.46013 605.58 107.022 147233 375.726 0 1 252089 351.217
 4.26544 1.01605 0.00174442 1.46015 605.68 107.054 147225 375.713 0 1 252072 351.194
 4.29781 0.998659 0.00188166 1.46008 605.574 107.048 147228 375.725 0 1 252088 351.216
 4.32825 1.01893 0.00168814 1.4601 605.641 107.093 147222 375.715 0 1 252075 351.198
 4.36107 1.00461 0.00172705 1.46052 605.487 107.165 147291 375.749 0 1 252120 351.26
 4.38718 1.02894 0.00153484 1.46042 605.562 107.189 147268 375.733 0 1 252099 351.231
 4.41972 1.02091 0.00160597 1.45967 605.678 107.087 147168 375.701 0 1 252056 351.171
 4.43191 0.984972 0.00193927 1.45969 605.819 107.063 147163 375.693 0 1 252045 351.156
 4.46449 0.982224 0.00148461 1.46071 605.721 107.231 147302 375.738 0 1 252106 351.241
 4.48673 1.01404 0.00142736 1.46048 605.563 107.185 147278 375.739 0 1 252106 351.241
 4.51668 1.0027 0.00145743 1.46305 605.135 107.634 147640 375.87 0 1 252282 351.486
 4.54472 1.01919 0.00181635 1.46364 605.017 107.723 147724 375.899 0 1 252322 351.542
 4.5747 0.995851 0.00174545 1.46729 604.563 108.379 148214 376.054 0 1 252529 351.83
 4.60661 1.01108 0.00185167 1.46565 604.818 108.107 147979 375.966 0 1 252411 351.666
 4.6372 0.987765 0.00196385 1.45755 606.608 106.794 146817 375.527 0 1 251822 350.846
 4.67036 1.00526 0.00194227 1.45245 607.462 105.879 146105 375.272 0 1 251481 350.37
 4.70266 0.98434 0.00199735 1.43196 611.625 102.287 143232 374.213 0 1 250063 348.395
 4.73617 1.00421 0.00199735 1.42295 613.2 100.577 141978 373.749 0 1 249443 347.531
 4.76968 0.98434 0.00199735 1.38618 620.421 93.8862 136864 371.791 0 1 246837 343.9
 4.80319 1.00421 0.00199735 1.37447 622.527 91.5334 135253 371.167 0 1 246009 342.746
 4.8367 0.98434 0.00199735 1.32714 631.668 82.2768 128778 368.576 0 1 242586 337.978
 4.87021 1.00421 0.00199735 1.31604 633.66 79.846 127281 367.969 0 1 241788 336.865
 4.90372 0.98434 0.00199735 1.26593 643.242 69.3152 120545 365.119 0 1 238057 331.668
 4.93723 1.00421 0.00199735 1.25695 644.829 67.1689 119358 364.613 0 1 237398 330.749
 4.97074 0.98434 0.00199735 1.20835 654.043 56.2192 112942 361.739 0 1 233670 325.556
 5.00426 1.00421 0.00199735 1.20181 655.16 54.516 112097 361.362 0 1 233183 324.877
 5.03777 0.98434 0.00199735 1.15685 663.61 43.721 106262 358.604 0 1 229637 319.936
 5.07128 1.00421 0.00199735 1.15255 664.298 42.5094 105718 358.351 0 1 229314 319.486
 5.10479 0.98434 0.00199735 1.11233 671.796 32.2946 100581 355.8 0 1 226060 314.953
 5.1383 1.00421 0.00199735 1.10985 672.132 31.5618 100276 355.656 0 1 225877 314.698
 5.17181 0.98434 0.00199735 1.07514 678.562 22.3034 95904.6 353.387 0 1 223004 310.696
 5.20532 1.00421 0.00199735 1.07405 678.629 21.9932 95777.1 353.331 0 1 222934 310.597
 5.23883 0.98434 0.00199735 1.04554 683.902 14.0498 92226.4 351.416 0 1 220523 307.239
 5.27234 1.00421 0.00199735 1.0458 683.717 13.9589 92267.2 351.45 0 1 220566 307.299
 5.30585 0.98434 0.00199735 1.02406 687.746 7.69611 89582.7 349.956 0 1 218695 304.691
 5.33936 1.00421 0.00199735 1.02631 687.205 7.39469 89862.5 350.118 0 1 218897 304.973
 5.37287 0.98434 0.00199735 1.01143 689.989 3.03656 88038 349.085 0 1 217608 303.177
 5.40638 1.00421 0.00199735 1.01455 689.292 2.61399 88423.8 349.31 0 1 217889 303.569
 5.43989 0.98434 0.00199735 1.00439 691.244 0.259796 87180.9 348.596 0 1 216999 302.328
 5.4734 1.00421 0.00199735 0.998045 692.165 2.29121 86415.4 348.164 0 1 216462 301.58
 5.50691 0.98434 0.00199735 0.992032 693.38 0.942893 85681.3 347.732 0 1 215924 300.831
 5.54043 1.00421 0.00199735 0.974116 696.391 6.38858 83530.8 346.483 0 1 214376 298.674
 5.57394 0.98434 0.00199735 0.974512 696.466 4.83374 83572.3 346.499 0 1 214395 298.701
 5.60745 1.00421 0.00199735 0.985546 694.675 3.76149 84925.3 347.332 0 1 215427 300.139
 5.64096 0.98434 0.00199735 0.990751 694.001 1.89266 85556.8 347.703 0 1 215889 300.782
 5.67447 1.00421 0.00199735 1.09192 673.372 -27.1554 98418.5 355.228 0 1 225333 313.941
 5.70798 0.98434 0.00199735 1.10661 671.455 -31.6715 100217 356.071 0 1 226405 315.434
 5.74149 1.00421 0.00199735 1.32428 626.756 -81.2855 129697 370.287 0 1 244844 341.124
 5.775 0.98434 0.00199735 1.34312 623.584 -85.5758 132384 371.471 0 1 246411 343.307
 5.80851 1.00421 0.00199735 1.45185 602.297 -106.352 147480 377.112 0 1 253952 353.813
 5.84202 0.98434 0.00199735 1.45916 601.93 -105.663 148789 377.832 0 1 254924 355.167
 5.87553 1.00421 0.00199735 1.46655 599.507 -109.326 149449 377.713 0 1 254763 354.943
 5.90904 0.98434 0.00199735 1.46717 599.619 -108.852 149572 377.788 0 1 254864 355.083
 5.94255 1.00421 0.00199735 1.45924 600.971 -107.843 148339 377.25 0 1 254139 354.073
 5.97606 0.98434 0.00199735 1.45879 601.212 -107.313 148327 377.292 0 1 254195 354.151
 6.00957 1.00421 0.00199735 1.45409 602.154 -106.518 147555 376.917 0 1 253690 353.448
 6.04309 0.98434 0.00199735 1.45378 602.194 -106.39 147555 376.956 0 1 253742 353.521
 6.0766 1.00421 0.00199735 1.45446 602.28 -106.414 147549 376.862 0 1 253616 353.344
 6.11011 0.98434 0.00199735 1.45435 602.187 -106.477 147583 376.919 0 1 253692 353.451
 6.14362 1.00421 0.00199735 1.45695 602.03 -106.827 147835 376.903 0 1 253672 353.422
 6.17713 0.98434 0.00199735 1.45676 601.89 -106.886 147864 376.965 0 1 253754 353.537
 6.21064 1.00421 0.00199735 1.45873 601.949 -107.142 148020 376.91 0 1 253680 353.434
 6.24415 0.98434 0.00199735 1.45798 601.868 -107.124 147976 376.951 0 1 253735 353.511
 6.27766 1.00421 0.00199735 1.45789 602.399 -107.031 147828 376.773 0 1 253496 353.178
 6.31117 0.98434 0.00199735 1.45645 602.423 -106.916 147677 376.768 0 1 253489 353.168
 6.34468 1.00421 0.00199735 1.45391 603.441 -106.409 147205 376.493 0 1 253119 352.653
 6.37819 0.98434 0.00199735 1.45168 603.576 -106.154 146948 376.453 0 1 253066 352.578
 6.4117 1.00421 0.00199735 1.44642 605.165 -105.18 146090 376.034 0 1 252503 351.795
 6.44521 0.98434 0.00199735 1.44346 605.413 -104.757 145737 375.964 0 1 252408 351.662
 6.47872 1.00421 0.00199735 1.43567 607.531 -103.323 144519 375.404 0 1 251657 350.615
 6.51223 0.98434 0.00199735 1.43228 607.846 -102.776 144105 375.31 0 1 251531 350.44
 6.54574 1.00421 0.00199735 1.42269 610.32 -101.002 142642 374.657 0 1 250656 349.221
 6.57926 0.98434 0.00199735 1.41903 610.677 -100.383 142191 374.546 0 1 250508 349.015
 6.61277 1.00421 0.00199735 1.40822 613.372 -98.3614 140570 373.832 0 1 249554 347.685
 6.64628 0.98434 0.00199735 1.40434 613.765 -97.7261 140088 373.706 0 1 249385 347.45
 6.67979 1.00421 0.00199735 1.39277 616.58 -95.5209 138376 372.954 0 1 248384 346.055
 6.7133 0.98434 0.00199735 1.38899 616.964 -94.847 137908 372.829 0 1 248216 345.822
 6.74681 1.00421 0.00199735 1.37696 619.835 -92.4982 136148 372.057 0 1 247190 344.392
 6.78032 0.98434 0.00199735 1.37414 620.084 -91.6343 135812 371.978 0 1 247085 344.245
 6.81383 1.00421 0.00199735 1.36171 622.993 -89.1998 134013 371.189 0 1 246038 342.787
 6.84734 0.98434 0.00199735 1.35977 623.112 -88.1917 133794 371.151 0 1 245987 342.716
 6.88085 1.00421 0.00199735 1.34674 626.074 -85.7736 131930 370.334 0 1 244906 341.21
 6.91436 0.98434 0.00199735 1.34017 626.865 -85.8572 131075 370.036 0 1 244512 340.661
 6.94787 1.00421 0.00199735 1.32717 629.745 -83.4564 129234 369.223 0 1 243439 339.166
 6.98138 0.98434 0.00199735 1.30819 632.367 -86.4026 126700 368.229 0 1 242129 337.341
 7.01489 1.00421 0.00199735 1.29807 634.648 -83.5866 125276 367.577 0 1 241273 336.148
 7.0484 0.98434 0.00199735 1.28691 636.413 -85.0467 123774 366.948 0 1 240449 334.999
 7.08191 1.00421 0.00199735 1.27896 638.599 -80.25 122639 366.396 0 1 239724 333.991
 7.11543 0.98434 0.00199735 1.34424 628.629 -64.8032 131633 370.262 0 1 244810 341.076
 7.14894 1.00421 0.00199735 1.33788 631.218 -58.4541 130703 369.827 0 1 244235 340.275
 7.18245 0.98434 0.00199735 1.55577 595.443 -13.4601 162227 382.079 0 1 260686 363.195
 7.21596 1.00421 0.00199735 1.56338 595.601 -5.43026 163326 382.437 0 1 261175 363.876
 7.24947 0.98434 0.00199735 1.76371 562.382 30.3884 193427 391.84 0 1 274175 381.989
 7.28298 1.00421 0.00199735 1.77129 561.722 34.2956 194524 392.108 0 1 274552 382.513
 7.31649 0.98434 0.00199735 1.80873 554.676 44.0537 200349 393.795 0 1 276919 385.812
 7.35 1.00421 0.00199735 1.7988 556.29 46.1483 198816 393.367 0 1 276317 384.972
 7.38351 0.98434 0.00199735 1.78132 558.695 45.6866 196148 392.632 0 1 275286 383.535
 7.41702 1.00421 0.00199735 1.76302 561.693 47.671 193276 391.764 0 1 274070 381.841
 7.45053 0.98434 0.00199735 1.74354 564.411 45.7737 190378 390.981 0 1 272976 380.317
 7.48404 1.00421 0.00199735 1.72516 567.419 48.0015 187512 390.089 0 1 271731 378.584
 7.51755 0.98434 0.00199735 1.71223 569.051 46.7966 185634 389.594 0 1 271042 377.623
 7.55106 1.00421 0.00199735 1.69458 571.948 49.2132 182896 388.719 0 1 269826 375.929
 7.58457 0.98434 0.00199735 1.68431 573.129 48.3456 181437 388.344 0 1 269305 375.203
 7.61809 1.00421 0.00199735 1.66721 575.948 50.7606 178798 387.48 0 1 268109 373.537
 7.6516 0.98434 0.00199735 1.65676 577.164 49.7889 177324 387.096 0 1 267577 372.796
 7.68511 1.00421 0.00199735 1.64004 579.937 52.1462 174757 386.237 0 1 266390 371.142
 7.71862 0.98434 0.00199735 1.62892 581.277 50.9738 173196 385.818 0 1 265814 370.339
 7.75213 1.00421 0.00199735 1.61264 583.993 53.2757 170709 384.966 0 1 264641 368.705
 7.78564 0.98434 0.00199735 1.60126 585.395 51.9586 169120 384.531 0 1 264043 367.872
 7.81915 1.00421 0.00199735 1.58547 588.041 54.2196 166722 383.691 0 1 262891 366.266
 7.85266 0.98434 0.00199735 1.57416 589.45 52.8164 165157 383.254 0 1 262293 365.433
 7.88617 1.00421 0.00199735 1.55895 592.013 55.0352 162858 382.43 0 1 261165 363.863
 7.91968 0.98434 0.00199735 1.54782 593.413 53.5723 161328 381.996 0 1 260574 363.038
 7.95319 1.00421 0.00199735 1.53308 595.906 55.7662 159113 381.184 0 1 259466 361.496
 7.9867 0.98434 0.00199735 1.52212 597.3 54.2514 157618 380.753 0 1 258880 360.679
 8.02021 1.00421 0.00199735 1.50777 599.732 56.4334 155475 379.95 0 1 257789 359.159
 8.05372 0.98434 0.00199735 1.497 601.119 54.8686 154017 379.522 0 1 257209 358.35
 8.08723 1.00421 0.00199735 1.48308 603.483 57.0332 151948 378.73 0 1 256137 356.857
 8.12074 0.98434 0.00199735 1.47254 604.861 55.4232 150531 378.306 0 1 255564 356.058
 8.15426 1.00421 0.00199735 1.45911 607.146 57.5544 148547 377.531 0 1 254517 354.601
 8.18777 0.98434 0.00199735 1.44882 608.512 55.9072 147173 377.112 0 1 253953 353.814
 8.22128 1.00421 0.00199735 1.43592 610.71 57.9943 145278 376.356 0 1 252936 352.397
 8.25479 0.98434 0.00199735 1.42587 612.065 56.3165 143944 375.942 0 1 252380 351.622
 8.2883 1.00421 0.00199735 1.41347 614.18 58.3591 142134 375.205 0 1 251391 350.245
 8.32181 0.98434 0.00199735 1.40366 615.528 56.6537 140838 374.795 0 1 250842 349.48
 8.35532 1.00421 0.00199735 1.39173 617.564 58.6531 139106 374.076 0 1 249880 348.14
 8.38883 0.98434 0.00199735 1.38212 618.909 56.92 137845 373.669 0 1 249336 347.382
 8.42234 1.00421 0.00199735 1.37063 620.871 58.8794 136186 372.966 0 1 248400 346.077
 8.45585 0.98434 0.00199735 1.36121 622.216 57.1183 134956 372.561 0 1 247860 345.325
 8.48936 1.00421 0.00199735 1.35014 624.106 59.0361 133366 371.876 0 1 246949 344.056
 8.52287 0.98434 0.00199735 1.34091 625.451 57.2475 132167 371.472 0 1 246413 343.309
 8.55638 1.00421 0.00199735 1.3303 627.261 59.1119 130652 370.807 0 1 245531 342.081
 8.58989 0.98434 0.00199735 1.32127 628.605 57.2978 129484 370.404 0 1 244999 341.339
 8.6234 1.00421 0.00199735 1.31119 630.325 59.0891 128053 369.765 0 1 244153 340.161
