# 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k 13:mu_t 14:k_t 15:S 16:tke 17:omega 18:massf[0]-air 19:u 20:Ttr
8.513899410292302683e-02 1.355407994802434735e-01 0.000000000000000000e+00 2.696922166107339940e-06 1.773141873342362063e-01 7.128727891926765778e+02 -1.864778917241051437e-01 0.000000000000000000e+00 3.171735004046992799e+03 1.582489082295307128e+02 4.145425693114779817e-06 4.787487799346105792e-03 1.674492451649849241e-06 1.890598610232834594e-03 0.000000000000000000e+00 1.079546114732962359e+00 1.143145445810337696e+05 1.000000000000000000e+00 4.471913742114006891e+04 6.230391061968611410e+01
8.513895937454497853e-02 1.365288592436539605e-01 0.000000000000000000e+00 2.617473679311478423e-06 1.778224441467895212e-01 7.127613276038429149e+02 -6.574294080707093757e-01 0.000000000000000000e+00 3.184841663833520215e+03 1.583487550304894000e+02 4.151393371925610034e-06 4.795084130437641395e-03 1.681178726989996870e-06 1.898147800946272832e-03 0.000000000000000000e+00 1.082030810501699802e+00 1.144490828109097638e+05 1.000000000000000000e+00 4.477558610661776038e+04 6.238255645360460022e+01
8.513892417866043838e-02 1.374875361841040589e-01 0.000000000000000000e+00 2.538884984558043207e-06 1.792530498140523509e-01 7.124557127514959802e+02 -1.950024319076141266e+00 0.000000000000000000e+00 3.221487620289630740e+03 1.586203758017265955e+02 4.167644380501995951e-06 4.815778585398093441e-03 1.699868400996264860e-06 1.919249521450978792e-03 0.000000000000000000e+00 1.088798935245790300e+00 1.148150819546595740e+05 1.000000000000000000e+00 4.492932789193032659e+04 6.259675366318889900e+01
8.513888856309742570e-02 1.384171738029858767e-01 0.000000000000000000e+00 2.461283971885173179e-06 1.831019936273306781e-01 7.116427172405539068e+02 -5.302715043727080690e+00 0.000000000000000000e+00 3.320332150452752103e+03 1.593339221005890352e+02 4.210451490004981154e-06 4.870348585055153667e-03 1.747374257945575165e-06 1.972886375434878582e-03 0.000000000000000000e+00 1.102930168360744645e+00 1.155726726663041627e+05 1.000000000000000000e+00 4.533446202135103522e+04 6.316119747950634178e+01
8.513885257465010625e-02 1.393181607038617431e-01 0.000000000000000000e+00 2.384785334468784426e-06 1.874329367375523470e-01 7.108903590162543651e+02 -9.590493175517885049e+00 0.000000000000000000e+00 3.429412521972887589e+03 1.600482491563172971e+02 4.253472479561946886e-06 4.925276113520722469e-03 1.799620528480455325e-06 2.031875429918683813e-03 0.000000000000000000e+00 1.116347145241047389e+00 1.162690798946804571e+05 1.000000000000000000e+00 4.574186081786183058e+04 6.372879649120769585e+01
8.513881625896745076e-02 1.401909257735294290e-01 0.000000000000000000e+00 2.309491044316747750e-06 1.906426096806862203e-01 7.102044746773815405e+02 -1.062874239712551727e+01 0.000000000000000000e+00 3.511185301144829282e+03 1.605760999149197232e+02 4.285369426241388647e-06 4.966055604965181718e-03 1.840777216261699891e-06 2.078343705511292040e-03 0.000000000000000000e+00 1.128459384807774413e+00 1.168704391958292399e+05 1.000000000000000000e+00 4.604407832836837042e+04 6.414985409312383524e+01
8.513877966045127477e-02 1.410359335514456414e-01 0.000000000000000000e+00 2.235490889479028800e-06 1.905053378904894290e-01 7.102010167346240905e+02 -1.123038890137951817e+01 0.000000000000000000e+00 3.507209033253042435e+03 1.605429610705018320e+02 4.283364257658045265e-06 4.963490675585737616e-03 1.840593775987513760e-06 2.078136590855687253e-03 0.000000000000000000e+00 1.129025155718528239e+00 1.168564847553119471e+05 1.000000000000000000e+00 4.602507562372263055e+04 6.412337901153559017e+01
8.513874282216425671e-02 1.418536798077456029e-01 0.000000000000000000e+00 2.162863058744257048e-06 1.903480815578336149e-01 7.102962984140095841e+02 -1.121006451532460879e+01 0.000000000000000000e+00 3.501332833713263426e+03 1.604746599176167479e+02 4.279232605199245069e-06 4.958206213807964981e-03 1.837076417341600191e-06 2.074165289963226817e-03 0.000000000000000000e+00 1.125417054200915201e+00 1.166097257701346534e+05 1.000000000000000000e+00 4.598592227799064131e+04 6.406882951229157186e+01
8.513870578575935544e-02 1.426446873451318320e-01 0.000000000000000000e+00 2.091674761020693069e-06 1.883180955650700927e-01 7.106435265950827898e+02 -9.763828794872837946e+00 0.000000000000000000e+00 3.450619916121884216e+03 1.601646073477308505e+02 4.260496001848330086e-06 4.934251527832266351e-03 1.812816560990579162e-06 2.046774512144851170e-03 0.000000000000000000e+00 1.118520611821524957e+00 1.161935941850076342e+05 1.000000000000000000e+00 4.580839544080858468e+04 6.382149432574216519e+01
8.513866859140249710e-02 1.434095020354245464e-01 0.000000000000000000e+00 2.021982867878291932e-06 1.867502031075291835e-01 7.109861695570137954e+02 -7.797412921788025031e+00 0.000000000000000000e+00 3.409849129082294894e+03 1.598825470639442017e+02 4.243478098491955115e-06 4.912508108228692827e-03 1.793203551528028382e-06 2.024630292625767720e-03 0.000000000000000000e+00 1.111834779700552334e+00 1.157901850718948554e+05 1.000000000000000000e+00 4.564719438509704196e+04 6.359690465907960544e+01
8.513863127773009520e-02 1.441486890974213730e-01 0.000000000000000000e+00 1.953834569032633821e-06 1.850623813124501471e-01 7.113117284765827435e+02 -7.271153696605045624e+00 0.000000000000000000e+00 3.367949779238013889e+03 1.596201623561378824e+02 4.227670568165783141e-06 4.892323043600549023e-03 1.771701604087238687e-06 2.000353353121619472e-03 0.000000000000000000e+00 1.104433911936097301e+00 1.153632018098745611e+05 1.000000000000000000e+00 4.549749326892825775e+04 6.338833701893013739e+01
8.513859388179653709e-02 1.448628296192767118e-01 0.000000000000000000e+00 1.887268031834270161e-06 1.848966699973844385e-01 7.113581294152636474e+02 -6.835025173170117263e+00 0.000000000000000000e+00 3.363253872731730098e+03 1.595803078469723459e+02 4.225271473794499308e-06 4.889260576678143913e-03 1.769089414224497890e-06 1.997404040021225416e-03 0.000000000000000000e+00 1.102395083208476123e+00 1.152170028100580093e+05 1.000000000000000000e+00 4.547477616524012410e+04 6.335668693622852743e+01
8.513855643904592874e-02 1.455525173254420268e-01 0.000000000000000000e+00 1.822313057071543515e-06 1.848803285519838857e-01 7.113194344356796819e+02 -6.656418447706712094e+00 0.000000000000000000e+00 3.363840798458911195e+03 1.596012845776339191e+02 4.226534130893161549e-06 4.890872337617094973e-03 1.766886495509117841e-06 1.994916817664594243e-03 0.000000000000000000e+00 1.099246695874639856e+00 1.150210219481853565e+05 1.000000000000000000e+00 4.548673221219802508e+04 6.337334442391695433e+01
8.513851898329001522e-02 1.462183555855877393e-01 0.000000000000000000e+00 1.758991724584397316e-06 1.849363296018776137e-01 7.113348523433454602e+02 -6.699535228904263562e+00 0.000000000000000000e+00 3.364703179690576235e+03 1.595975720331205423e+02 4.226310650391921270e-06 4.890587063117294436e-03 1.768592612653937370e-06 1.996843122378426719e-03 0.000000000000000000e+00 1.100279527930168033e+00 1.150528709080602857e+05 1.000000000000000000e+00 4.548461606940554339e+04 6.337039615659776359e+01
8.513848154669283186e-02 1.468609546606445271e-01 0.000000000000000000e+00 1.697319023277273599e-06 1.850153451544163385e-01 7.113007152769250752e+02 -6.816749191100566208e+00 0.000000000000000000e+00 3.367065056148672284e+03 1.596194817911954829e+02 4.227629596313914833e-06 4.892270740422405458e-03 1.769687815303769230e-06 1.998079669372506036e-03 0.000000000000000000e+00 1.100263853573236750e+00 1.150291566060306504e+05 1.000000000000000000e+00 4.549710529873176711e+04 6.338779648836896286e+01
8.513844415977146751e-02 1.474809291795146082e-01 0.000000000000000000e+00 1.637303461156093917e-06 1.850476997172895155e-01 7.113052324835193758e+02 -6.924279555079234427e+00 0.000000000000000000e+00 3.367917026807929687e+03 1.596257181590320329e+02 4.228005048197428665e-06 4.892750031543409775e-03 1.769671201902648078e-06 1.998060911883906780e-03 0.000000000000000000e+00 1.099169601921061723e+00 1.149359308363126474e+05 1.000000000000000000e+00 4.550066053176202695e+04 6.339274973509336775e+01
8.513840685139517639e-02 1.480788958381568099e-01 0.000000000000000000e+00 1.578947651920452482e-06 1.851193720474474114e-01 7.112933968793330450e+02 -6.947321432478863912e+00 0.000000000000000000e+00 3.369715175673425165e+03 1.596374127443263262e+02 4.228709138737152196e-06 4.893648870800714097e-03 1.770207474611485171e-06 1.998666394719636821e-03 0.000000000000000000e+00 1.098622681220460473e+00 1.148884206110513478e+05 1.000000000000000000e+00 4.550732776375429239e+04 6.340203870286157439e+01
8.513836964880266978e-02 1.486554713120411264e-01 0.000000000000000000e+00 1.522248875480121949e-06 1.851399565448810791e-01 7.112852066920111156e+02 -6.931758005165344905e+00 0.000000000000000000e+00 3.370291106671093985e+03 1.596421787604660949e+02 4.228996096895802460e-06 4.894015207000197189e-03 1.770252049097102409e-06 1.998716721886222014e-03 0.000000000000000000e+00 1.097936978919814566e+00 1.148265890360823541e+05 1.000000000000000000e+00 4.551004507033681148e+04 6.340582452781720946e+01
8.513833257762092044e-02 1.492112703718304623e-01 0.000000000000000000e+00 1.467199610501235317e-06 1.851241221636160672e-01 7.112860823114616551e+02 -6.910933370838129086e+00 0.000000000000000000e+00 3.369962196388597022e+03 1.596412156726303522e+02 4.228938109521529552e-06 4.893941178919504822e-03 1.769848143960918032e-06 1.998260689678740733e-03 0.000000000000000000e+00 1.097191547142179147e+00 1.147649998366883228e+05 9.999999999999998890e-01 4.550949596684871358e+04 6.340505950200016372e+01
8.513829566188907405e-02 1.497469041915541199e-01 0.000000000000000000e+00 1.413788037714987746e-06 1.850795897303670889e-01 7.112928668349845793e+02 -6.878523293595915966e+00 0.000000000000000000e+00 3.368878065826910642e+03 1.596347365712403814e+02 4.228548011669672752e-06 4.893443174602817372e-03 1.769149919424154985e-06 1.997472353883297802e-03 0.000000000000000000e+00 1.096359515602697954e+00 1.146956326211021806e+05 1.000000000000000000e+00 4.550580200030235574e+04 6.339991296799238540e+01
8.513825892409181140e-02 1.502629788385622389e-01 0.000000000000000000e+00 1.361998513287852976e-06 1.849839017004003272e-01 7.113132664315475040e+02 -6.816768042244328640e+00 0.000000000000000000e+00 3.366420077799356932e+03 1.596177572359977717e+02 4.227525774099811266e-06 4.892138205099277708e-03 1.767732272175099283e-06 1.995871748328925926e-03 0.000000000000000000e+00 1.095341894822363438e+00 1.146217787121708388e+05 1.000000000000000000e+00 4.549612218758914969e+04 6.338642679136022906e+01
8.513822238519695718e-02 1.507600939337042645e-01 0.000000000000000000e+00 1.311812012012195406e-06 1.849029458283856509e-01 7.113324082867303559e+02 -6.763591497580968337e+00 0.000000000000000000e+00 3.364373004494065754e+03 1.596041473783064362e+02 4.226706463249168249e-06 4.891092322699539495e-03 1.766257123683072073e-06 1.994206220552932791e-03 0.000000000000000000e+00 1.094094335174939703e+00 1.145367018306233367e+05 9.999999999999998890e-01 4.548836403635030729e+04 6.337561792541975336e+01
8.513818606469265859e-02 1.512388414708346895e-01 0.000000000000000000e+00 1.263206540477878667e-06 1.848397604640952818e-01 7.113401688421173503e+02 -6.716790411945074979e+00 0.000000000000000000e+00 3.362888719612366913e+03 1.595962077139868995e+02 4.226228524905508719e-06 4.890482229907206803e-03 1.765566992275639762e-06 1.993427022367545622e-03 0.000000000000000000e+00 1.093565725897215346e+00 1.144869765645907464e+05 9.999999999999998890e-01 4.548383842265367275e+04 6.336931271813011080e+01
8.513814998063690132e-02 1.516998047844764774e-01 0.000000000000000000e+00 1.216157520695039194e-06 1.847999753376138865e-01 7.113470786356228928e+02 -6.672709923829102330e+00 0.000000000000000000e+00 3.361864683759563377e+03 1.595890824761265492e+02 4.225799629545688779e-06 4.889934749871076985e-03 1.765040975003095400e-06 1.992833118511215442e-03 0.000000000000000000e+00 1.092965391017970633e+00 1.144335911877618200e+05 1.000000000000000000e+00 4.547977722423558589e+04 6.336365454675559761e+01
8.513811414969910119e-02 1.521435576546995572e-01 0.000000000000000000e+00 1.170638144919343035e-06 1.847528741694848264e-01 7.113565392809787227e+02 -6.634245845116643281e+00 0.000000000000000000e+00 3.360875233750739881e+03 1.595859345979878299e+02 4.225610151984762109e-06 4.889692886614206702e-03 1.764149029323764424e-06 1.991826060366471297e-03 0.000000000000000000e+00 1.092088155964556329e+00 1.143703975143505086e+05 9.999999999999998890e-01 4.547798307413081056e+04 6.336115488834954590e+01
8.513807858721920974e-02 1.525706635388575927e-01 0.000000000000000000e+00 1.126619702619309877e-06 1.847231133982090157e-01 7.113636300593217356e+02 -6.598480642774919858e+00 0.000000000000000000e+00 3.359870585459890663e+03 1.595749337531629237e+02 4.224948012880623817e-06 4.888847695937174193e-03 1.763446620056855445e-06 1.991032999769199504e-03 0.000000000000000000e+00 1.091237041134051511e+00 1.143083671508874977e+05 1.000000000000000000e+00 4.547171336129703559e+04 6.335241975501439526e+01
8.513804330724782099e-02 1.529816749198488202e-01 0.000000000000000000e+00 1.084071880694834662e-06 1.846654612222466962e-01 7.113698252221207667e+02 -6.565279488739196090e+00 0.000000000000000000e+00 3.358727319092638027e+03 1.595726853864591419e+02 4.224812688911856432e-06 4.888674963476559790e-03 1.762707159755384727e-06 1.990198106415750658e-03 0.000000000000000000e+00 1.090699255748390550e+00 1.142642894782178482e+05 1.000000000000000000e+00 4.547043200258191791e+04 6.335063453142864631e+01
