# 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k 13:k_modes[0] 14:mu_t 15:k_t 16:S 17:tke 18:omega 19:massf[0]-N2 20:u 21:T 22:u_modes[0] 23:T_modes[0] 24:dt_therm
-1.422873939629257345e+00 1.154010281323814523e-02 0.000000000000000000e+00 3.311591217940446086e-04 2.091191385740399748e-03 6.472888036545422210e+02 3.114034274532192725e+01 0.000000000000000000e+00 1.598204690078137901e+03 1.034387652252226644e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999815703e-01 1.910638955592631130e+06 2.574941736955416673e+03 4.813794092444586568e+02 4.393035483318122942e+02 -1.000000000000000000e+00
-1.408538636816076828e+00 1.137068294160926800e-02 0.000000000000000000e+00 3.262947861318310494e-04 2.981014078964559864e-03 4.230860197222152692e+02 1.640254152286363265e+01 0.000000000000000000e+00 2.429809128181057986e+03 1.068238150046622195e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999950040e-01 2.037737045026838779e+06 2.746230077022743899e+03 2.473396920581697486e+03 5.589889991363920672e+02 -1.000000000000000000e+00
-1.394203341838410770e+00 1.120126316258370641e-02 0.000000000000000000e+00 3.214304504696105513e-04 3.055090278754015419e-03 3.970114234625988274e+02 1.144070150433531907e+01 0.000000000000000000e+00 2.497399096298190670e+03 1.069783681341273223e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999945599e-01 2.043637722971583717e+06 2.754182339208010035e+03 5.344997183320054319e+03 6.410032356995687906e+02 -1.000000000000000000e+00
-1.379868055057495990e+00 1.103184348043032177e-02 0.000000000000000000e+00 3.165661148074247477e-04 3.067647248614679793e-03 3.835651805411903865e+02 9.824877470682812586e+00 0.000000000000000000e+00 2.509102772621234180e+03 1.070090562504692798e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999962252e-01 2.044810378502874635e+06 2.755762710874647837e+03 8.526610447778715752e+03 7.033561144422997131e+02 -1.000000000000000000e+00
-1.365532776857077968e+00 1.086242389968427625e-02 0.000000000000000000e+00 3.117017791452042497e-04 3.087688836286933691e-03 3.686266760751118454e+02 9.244744140184664616e+00 0.000000000000000000e+00 2.527561777792002886e+03 1.070528278036488700e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999971134e-01 2.046483560849589063e+06 2.758017635618792156e+03 1.189164484757510945e+04 7.555300019817439079e+02 -1.000000000000000000e+00
-1.351197507645225171e+00 1.069300442516861981e-02 0.000000000000000000e+00 3.068374434830080377e-04 3.103905726354892584e-03 3.548715000897170171e+02 8.980236824526413031e+00 0.000000000000000000e+00 2.541989511426638728e+03 1.070771082229383182e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999986677e-01 2.047411983104794053e+06 2.759268857471799947e+03 1.539648732717294479e+04 8.015414100627070866e+02 -1.000000000000000000e+00
-1.336862247856340780e+00 1.052358506201694389e-02 0.000000000000000000e+00 3.019731078207910091e-04 3.121244408869354621e-03 3.409638022455013129e+02 8.826564165195337708e+00 0.000000000000000000e+00 2.557312425634974261e+03 1.071006295187726664e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999980016e-01 2.048311579163821414e+06 2.760481230658272125e+03 1.904580629867519019e+04 8.437027830635008741e+02 -1.000000000000000000e+00
-1.322526997953217931e+00 1.035416581569889236e-02 0.000000000000000000e+00 2.971087721585947972e-04 3.137642628360077460e-03 3.272836570396834759e+02 8.700596003662397493e+00 0.000000000000000000e+00 2.571345820389385608e+03 1.071130840489583761e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999986677e-01 2.048787995442718035e+06 2.761123290298637585e+03 2.283983179204881890e+04 8.832342229498788129e+02 -1.000000000000000000e+00
-1.308191758429526841e+00 1.018474669204874616e-02 0.000000000000000000e+00 2.922444364963881769e-04 3.153853714165454070e-03 3.136717830207132920e+02 8.579441274220755531e+00 0.000000000000000000e+00 2.585051244604650037e+03 1.071217905800075641e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999997780e-01 2.049121074476249749e+06 2.761572176312729880e+03 2.678730265623616287e+04 9.209594450842789684e+02 -1.000000000000000000e+00
-1.293856529812359657e+00 1.001532769729572558e-02 0.000000000000000000e+00 2.873801008341711483e-04 3.169828057109754394e-03 3.000916578526150715e+02 8.483307177007546329e+00 0.000000000000000000e+00 2.598075813727112745e+03 1.071203727497891123e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999992228e-01 2.049066831795314560e+06 2.761499074200656196e+03 3.089149881923431531e+04 9.573808838012319029e+02 -1.000000000000000000e+00
-1.279521312664992250e+00 9.845908838097227472e-03 0.000000000000000000e+00 2.825157651719645280e-04 3.185476110953237069e-03 2.865381893954929069e+02 8.395590945794529247e+00 0.000000000000000000e+00 2.610616405606714125e+03 1.071145266706968187e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999990008e-01 2.048843182837039698e+06 2.761197665587897063e+03 3.515965072860859800e+04 9.928835584358854476e+02 -1.000000000000000000e+00
-1.265186107590305920e+00 9.676490121578128906e-03 0.000000000000000000e+00 2.776514295097683160e-04 3.200959183747148322e-03 2.729451254353099330e+02 8.325530260785781067e+00 0.000000000000000000e+00 2.622734142973391045e+03 1.071028640815810604e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999990008e-01 2.048397052585290745e+06 2.760596422008107311e+03 3.960121920904173749e+04 1.027769037018267454e+03 -1.000000000000000000e+00
-1.250850915234144933e+00 9.507071555371260016e-03 0.000000000000000000e+00 2.727870938475651652e-04 3.216283754456597792e-03 2.592854046788201003e+02 8.272039694119003528e+00 0.000000000000000000e+00 2.634396464918690526e+03 1.070846956652591643e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999991118e-01 2.047702151021638419e+06 2.759659912766480829e+03 4.422780561110773124e+04 1.062284879881616462e+03 -1.000000000000000000e+00
-1.236515736289292011e+00 9.337653147663757536e-03 0.000000000000000000e+00 2.679227581853481366e-04 3.231438196974104234e-03 2.455343168112709407e+02 8.238012216344108296e+00 0.000000000000000000e+00 2.645567716986578944e+03 1.070595791689538828e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999991118e-01 2.046741694970268756e+06 2.758365519408727778e+03 4.905348416948935483e+04 1.096645310156622372e+03 -1.000000000000000000e+00
-1.222180571499658086e+00 9.168234907248129853e-03 0.000000000000000000e+00 2.630584225231380469e-04 3.246397887363854529e-03 2.316614787336941390e+02 8.223743019951482935e+00 0.000000000000000000e+00 2.656202502351633939e+03 1.070270943537599123e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999996669e-01 2.045499808180111926e+06 2.756691845730512341e+03 5.409527340322866803e+04 1.131045544147041483e+03 -1.000000000000000000e+00
-1.207845421665292962e+00 8.998816843579615643e-03 0.000000000000000000e+00 2.581940868609383655e-04 3.261202436207032238e-03 2.176331374026182459e+02 8.221061050814878257e+00 0.000000000000000000e+00 2.666308393454547513e+03 1.069868322331241188e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999988898e-01 2.043961119871187024e+06 2.754618176743905224e+03 5.937389416929788422e+04 1.165673451205546598e+03 -1.000000000000000000e+00
-1.193510287647754575e+00 8.829398966839843016e-03 0.000000000000000000e+00 2.533297511987282757e-04 3.275881767717903157e-03 2.034167317807802249e+02 8.224986354869589178e+00 0.000000000000000000e+00 2.675883331694984918e+03 1.069383540965131488e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999988898e-01 2.042109210155576933e+06 2.752122383592698043e+03 6.491474279510730412e+04 1.200719357237614759e+03 -1.000000000000000000e+00
-1.179175170375961867e+00 8.659981288007441436e-03 0.000000000000000000e+00 2.484654155365147166e-04 3.290518591563324456e-03 1.889842284689527219e+02 8.228289693987145270e+00 0.000000000000000000e+00 2.684965896460026670e+03 1.068811776330791872e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999990008e-01 2.039926095041754656e+06 2.749180229499846064e+03 7.075141444465942914e+04 1.236398846482589079e+03 -1.000000000000000000e+00
-1.164840070853097265e+00 8.490563818938506868e-03 0.000000000000000000e+00 2.436010798743185046e-04 3.305133065751465499e-03 1.743188643461075173e+02 8.231751504304215317e+00 0.000000000000000000e+00 2.693538166745450326e+03 1.068147209424569382e+03 1.775181978849806153e-05 2.690317944012814155e-02 1.245920066712480528e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.999999999999981126e-01 2.037390108931241324e+06 2.745762516037453679e+03 7.692742435306840343e+04 1.272960640963159449e+03 -1.000000000000000000e+00
