# eta f fd fdd g gd y p T rho u
1.082164 0.276663 0.526557 0.486236 2.275620 0.063336 0.000620 3531.500000 774.165936 0.015889 1136.415076
1.092184 0.281964 0.531420 0.484510 2.276139 0.040370 0.000627 3531.500000 774.342633 0.015885 1146.911470
1.102204 0.287313 0.536266 0.482739 2.276430 0.017623 0.000635 3531.500000 774.441413 0.015883 1157.370058
1.112224 0.292711 0.541094 0.480923 2.276493 -0.004899 0.000642 3531.500000 774.463035 0.015883 1167.789859
1.122244 0.298157 0.545904 0.479062 2.276332 -0.027188 0.000650 3531.500000 774.408279 0.015884 1178.169903
1.132265 0.303651 0.550695 0.477158 2.275949 -0.049237 0.000657 3531.500000 774.277952 0.015887 1188.509231
1.142285 0.309192 0.555466 0.475209 2.275346 -0.071040 0.000664 3531.500000 774.072879 0.015891 1198.806894
1.152305 0.314782 0.560218 0.473218 2.274526 -0.092592 0.000672 3531.500000 773.793910 0.015896 1209.061958
1.162325 0.320419 0.564949 0.471184 2.273492 -0.113885 0.000679 3531.500000 773.441915 0.015904 1219.273499
1.172345 0.326104 0.569660 0.469109 2.272245 -0.134914 0.000686 3531.500000 773.017784 0.015912 1229.440606
1.182365 0.331835 0.574350 0.466992 2.270789 -0.155673 0.000694 3531.500000 772.522429 0.015923 1239.562381
1.192385 0.337614 0.579019 0.464834 2.269126 -0.176156 0.000701 3531.500000 771.956778 0.015934 1249.637941
1.202405 0.343439 0.583665 0.462637 2.267260 -0.196359 0.000708 3531.500000 771.321779 0.015947 1259.666415
1.212425 0.349310 0.588290 0.460401 2.265192 -0.216276 0.000716 3531.500000 770.618399 0.015962 1269.646947
1.222445 0.355228 0.592892 0.458125 2.262927 -0.235902 0.000723 3531.500000 769.847621 0.015978 1279.578694
1.232465 0.361192 0.597470 0.455812 2.260466 -0.255232 0.000730 3531.500000 769.010443 0.015995 1289.460830
1.242485 0.367201 0.602026 0.453462 2.257813 -0.274263 0.000738 3531.500000 768.107882 0.016014 1299.292541
1.252505 0.373256 0.606558 0.451075 2.254971 -0.292989 0.000745 3531.500000 767.140965 0.016034 1309.073033
1.262525 0.379357 0.611065 0.448653 2.251942 -0.311407 0.000752 3531.500000 766.110738 0.016056 1318.801523
