pos.x pos.y vol rho vel.x vel.y p a shock-detector massf-air e T
 0.272962 0.305702 7.84949e-05 0.999972 694.509 0.00636246 86127.7 347.249 0 1 215325 299.997
 0.279287 0.301509 7.66152e-05 0.999989 694.505 0.00272595 86129.9 347.251 0 1 215327 299.999
 0.287312 0.303524 0.000106831 1.00013 694.471 -0.0340023 86147 347.261 0 1 215339 300.016
 0.292166 0.297323 7.76086e-05 1.0001 694.481 -0.0277166 86143.3 347.259 0 1 215337 300.013
 0.299659 0.296648 7.61117e-05 1.00023 694.449 -0.057136 86158.4 347.267 0 1 215347 300.028
 0.305387 0.301674 9.55058e-05 1.00048 694.392 -0.123143 86188 347.283 0 1 215367 300.056
 0.313455 0.298482 8.68943e-05 1.00048 694.389 -0.124673 86188.8 347.284 0 1 215368 300.057
 0.319333 0.30308 7.06623e-05 1.00032 694.425 -0.0888396 86168.1 347.27 0 1 215351 300.033
 0.326408 0.301175 6.70527e-05 0.999868 694.528 0.0224113 86113.2 347.238 0 1 215311 299.978
 0.336763 0.293984 6.82135e-05 0.999635 694.572 0.0805298 86084.3 347.22 0 1 215289 299.947
 0.341129 0.300007 7.4212e-05 0.997482 695.048 0.647716 85825.1 347.071 0 1 215105 299.689
 0.348709 0.298766 7.84595e-05 0.995003 695.662 1.25969 85530.4 346.906 0 1 214900 299.404
 0.354077 0.304779 9.12338e-05 0.992796 696.168 1.98197 85282.7 346.788 0 1 214754 299.201
 0.36126 0.302601 7.22088e-05 0.994206 695.971 1.5583 85454 346.89 0 1 214880 299.377
 0.373795 0.301017 7.4929e-05 1.00246 694.202 -0.407395 86447.6 347.462 0 1 215590 300.365
 0.380263 0.303349 8.15878e-05 1.03 687.424 -7.52889 89817.1 349.402 0 1 218003 303.728
 0.386129 0.299087 7.51615e-05 1.03659 686.223 -9.5023 90634 349.869 0 1 218586 304.54
 0.391755 0.30293 4.61501e-05 1.11725 667.711 -29.6712 100953 355.671 0 1 225897 314.725
