# t = 1
# 1:pos.x 2:pos.y 3:pos.z 4:n.x 5:n.y 6:n.z 7:area 8:cellWidthNormalToSurface 9:outsign 10:p 11:rho 12:T 13:velx 14:vely 15:velz 16:mu 17:a 18:Re 19:y+ 20:tau_wall_x 21:tau_wall_y 22:tau_wall_z 23:q_total 24:q_cond 25:q_diff
-3.5636020704749180e-02 1.3465730109315913e-02 0.0000000000000000e+00 9.3544403082986738e-01 -3.5347484377925720e-01 0.0000000000000000e+00 1.1968975791607347e-03 9.9894993642178861e-05 1 3.1419073879487834e+04 2.7205543730162168e-01 4.0225168024585645e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.2962594563689144e-05 7.1598435655484991e+02 8.4739073143774021e+02 9.1973959302066639e+00 2.4968199673149122e+01 6.0790573148918753e+01 0.0000000000000000e+00 -3.3483379619820736e+05 -3.3483379619820736e+05 0.0000000000000000e+00
-3.5195467675451030e-02 1.4578440045235681e-02 0.0000000000000000e+00 9.2387953251128707e-01 -3.8268343236508912e-01 0.0000000000000000e+00 1.1968975791607351e-03 1.0257130595682196e-04 1 3.0667236425478695e+04 2.6751542108094800e-01 3.9928934078568892e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.2841236769361862e-05 7.1590218058793312e+02 8.6002044732280240e+02 9.6867473220318630e+00 2.8409705651785625e+01 6.3510625270560816e+01 0.0000000000000000e+00 -3.2519984673017293e+05 -3.2519984673017293e+05 0.0000000000000000e+00
-3.4720180968757508e-02 1.5676762820907204e-02 0.0000000000000000e+00 9.1140327663544285e-01 -4.1151435860511426e-01 0.0000000000000000e+00 1.1968975791607425e-03 1.0544277023620390e-04 1 2.9872526870229438e+04 2.6261028297390387e-01 3.9620698736240433e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.2714464622160634e-05 7.1568153891145187e+02 8.7246064263401922e+02 1.0166800327969751e+01 3.1881021924303536e+01 6.5738686801226592e+01 0.0000000000000000e+00 -3.1519597069607669e+05 -3.1519597069607669e+05 0.0000000000000000e+00
-3.4210629635266075e-02 1.6759614524352998e-02 0.0000000000000000e+00 8.9802757576061798e-01 -4.3993916985591031e-01 0.0000000000000000e+00 1.1968975791607265e-03 1.0850560338922996e-04 1 2.9039273468269781e+04 2.5735029319266456e-01 3.9302753427979718e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.2583161508363406e-05 7.1530785831388437e+02 8.8447403773718645e+02 1.0637073026729333e+01 3.5344719527322994e+01 6.7485141863702111e+01 0.0000000000000000e+00 -3.0489922333267599e+05 -3.0489922333267599e+05 0.0000000000000000e+00
-3.3667316540624007e-02 1.7825926511676041e-02 0.0000000000000000e+00 8.8376563008869524e-01 -4.6792981426056995e-01 0.0000000000000000e+00 1.1968975791607414e-03 1.1175643822031810e-04 1 2.8171999338460224e+04 2.5174924936996979e-01 3.8977266881302808e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.2448172632627258e-05 7.1476721784123936e+02 8.9582745516895113e+02 1.1096659909972933e+01 3.8767485401426711e+01 6.8764048269692694e+01 0.0000000000000000e+00 -2.9437766388800670e+05 -2.9437766388800670e+05 0.0000000000000000e+00
-3.3090777869260721e-02 1.8874646461682253e-02 0.0000000000000000e+00 8.6863151443818842e-01 -4.9545866843241237e-01 0.0000000000000000e+00 1.1968975791607440e-03 1.1519234916764009e-04 1 2.7275271500272083e+04 2.4582353869855550e-01 3.8646263764859350e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.2310296373044299e-05 7.1404700737317285e+02 9.0629287367100846e+02 1.1544319875769423e+01 4.2118458091308561e+01 6.9593250196862925e+01 0.0000000000000000e+00 -2.8369409327414702e+05 -2.8369409327414702e+05 0.0000000000000000e+00
-3.2481582595238506e-02 1.9904739414394461e-02 0.0000000000000000e+00 8.5264016435409129e-01 -5.2249856471595058e-01 0.0000000000000000e+00 1.1968975791607273e-03 1.1881086405994552e-04 1 2.6353523066442671e+04 2.3959025478722182e-01 3.8311700607850025e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.2170315898742402e-05 7.1313555809711625e+02 9.1564159667308684e+02 1.1978633711299024e+01 4.5369401669404127e+01 6.9996043364334668e+01 0.0000000000000000e+00 -2.7291325482994562e+05 -2.7291325482994562e+05 0.0000000000000000e+00
-3.1840331920743786e-02 2.0915188792432968e-02 0.0000000000000000e+00 8.3580736136826850e-01 -5.4902281799813457e-01 0.0000000000000000e+00 1.1968975791607330e-03 1.2260996441653473e-04 1 2.5411143148711133e+04 2.3306862107138124e-01 3.7975394447680412e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.2028969349852340e-05 7.1202214334802204e+02 9.2365310498099564e+02 1.2398066199094478e+01 4.8496363802622682e+01 6.9998828373542352e+01 0.0000000000000000e+00 -2.6209549856444210e+05 -2.6209549856444210e+05 0.0000000000000000e+00
-3.1167658682773144e-02 2.1904997404254695e-02 0.0000000000000000e+00 8.1814971742502351e-01 -5.7500525204327846e-01 0.0000000000000000e+00 1.1968975791607306e-03 1.2658807670041638e-04 1 2.4452544143774652e+04 2.2628059565310504e-01 3.7639048478453304e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.1886960029864738e-05 7.1069726590552284e+02 9.3012071051736200e+02 1.2800967663346324e+01 5.1478655421369190e+01 6.9629897368172777e+01 0.0000000000000000e+00 -2.5129921844727412e+05 -2.5129921844727412e+05 0.0000000000000000e+00
-3.0464226728599646e-02 2.2873188428260804e-02 0.0000000000000000e+00 7.9968465848709147e-01 -6.0042022532588279e-01 0.0000000000000000e+00 1.1968975791607321e-03 1.3074405670881529e-04 1 2.3482082870306022e+04 2.1925056410508276e-01 3.7304205467382127e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.1744935975450022e-05 7.0915253623189028e+02 9.3485488697227606e+02 1.3185593499926851e+01 5.4299011344103967e+01 6.8917992055234905e+01 0.0000000000000000e+00 -2.4057571717434365e+05 -2.4057571717434365e+05 0.0000000000000000e+00
